qid,uid,label
9a6fd7f41cf19d67ac83da467ce2458a,00e426f00a707cd7435be2ccb2a8724e,0.254133
00a9a8c42d7949067098af32e3dff28b,0253375a383243de4591d566c9d83302,0.985655
f53e28dcd3a9197bb7f4509cefd1fbae,02dc8978146e83a2e48f5f558625e16a,0.286706
1c0032e199baf0e09c73cae5f9959948,04173346d6199993b0c5b550495e54c5,0.914712
e888f91bd5d4710599cf217ee69dbdd6,049677e764decc80a4f4e053932267e1,0.524681
ffcb33bc13202a44f639e17df62dc852,04b023eb31a5f7f69a861fe49fb94ae3,0.140711
c9afd91ccbebd797e609530a73794a6e,05c1879e33e729388ae945eb0bf8eaef,0.907286
c18319ddcb344228b273e971f98ab275,05f0505ff421e4cc61999d16b61c45ca,0.994108
105a4978a41464bc7d6c1f88ad067547,0662db02ed78b3220f13daaa7e57406e,0.039545
6ae308aa44a59a3d954e9586e52c7d15,06e371ae654ce8632053e4aac054f629,0.113137
055d9c9038b45e525ffa8a4ec5d32ae2,07657c0308ac4155823385ed13d86ff7,0.884908
69de39ae32967bf72504b62abce9a85c,092589cad0901d2105cc70a880c489b1,0.150665
989bdb72a5d7094266829fe9a1c2f2e7,0ab65d7befab7a1849efb62084c70103,0.853854
b29695b314f180585fa87fb9bc6ec919,0c49dab990f756a3a4cfc8e59fc3d957,0.149717
98e6d22381d2bc297a797a32b0138eb7,11343cbedffd9dd147c8165684f3f44f,0.163699
c18319ddcb344228b273e971f98ab275,134cfdd5009265de3036dd01aa4e12c2,0.365780
398f7053f7c0f72e21740377da9ed259,13df47eb4c18e636880c8eb3eeb668a7,0.192848
7827bf723e5d7b09e228f9450f37b364,140ab8e292b0693b318c86f8ae86cbc9,0.974064
ddd1f005923090546835c2c0924cd8fc,16850540c27bd26a60150deb286cae8a,0.313400
0ba8c662aba60e981b90304ffa8e605f,20139a83b109c032dd5cfcf64c2c5f19,0.392784
092e479d9bf6b458dffb59dccde346be,220d93a5a9cc821602408f550ef3128b,0.039545
25d769e0ee4a62e21950f36dc1bedf6f,238efef1b3d4c190a3f82d25e359d22a,0.838826
60ed67739317f1d8f9b23ed5272276b5,27769f904cccaf4633f155fb0abf769f,0.115523
a6ccb1c11e374eff1e1051c4dee01c6c,2892d72a771133346b8562ec03b16454,0.146916
e749205559e8ac40e658ba82a6d33c16,2f52793dda1507d695de9fffa6f1a211,0.090907
14293b550389354920ddbdfc6f81bbda,30273a660d5a65b8cf6edda0dd1246b7,0.320682
15f2a741cccd89a3c11323e8b9b6c084,306a753803a85423973a94fa5d1f556d,0.331279
672af41af0b9e9bbac0e213def0164e9,30805f6d426e0ee8dbc5da31a0a712b9,0.112102
340dc574128a4e3ea9eecca81bd80fd0,33148dba42e2c2486e8321d45d629fa1,0.085900
ee639f6676cb2cfdfc7260f4c715faee,333da94b02106afff3f2b3b8adcc20f6,0.223267
51f3dfc8991cafa2a8f09cadcada8610,39479c59d559f43ed4f015382209de88,0.977569
a264ffd305b3da2f73b0a988c017cef4,3b3b3135b45f51e123d80ff2d6d1938b,0.249531
e2598094ec302b803d0cabcca51892a3,3b4b01c3b7b31e9f334c46cdd87afe47,0.111037
2b95aa619aa6db6194aaf8ec9fbba8cd,3c020791235ed87ba9335e30342ddf13,0.083209
92c35ad7d940eed11e9a40edb07cf590,3c155e17698db38d59fddc2673e0ff35,0.126234
a13827766e4eb8370eeeb8de990419b7,3c1c7dc5c8d6afc83c9e7699ece8526b,0.547387
ecc723af3220e2b9f973d998ec18cf1b,3e88302322a006cb9806e123df31dab3,0.938067
64a9565b64f35e54f210015077d946b9,40ac0d1db2c1b5f6b735927e5b528ff6,0.764920
fdc96b17e7e10310880d78ffe3f364b8,4510f1055b6e1e57584bf81c94ffbd92,0.730584
